pangkat,pend_terakhir,thn_pengangkatan,usia_asn,masa_kerja
IV/d,S2,1995,60,28
IV/c,S1,1992,58,31
IV/c,S1,1988,60,35
IV/c,S1,1988,56,35
IV/c,S2,1993,56,30
IV/c,S2,1998,50,25
IV/b,S1,1986,60,37
IV/b,S1,1988,57,35
IV/b,S1,1984,60,39
IV/b,S1,1985,57,38
IV/b,S1,1992,60,31
IV/b,S1,1983,61,40
IV/b,S1,1986,59,37
IV/b,S1,1997,55,26
IV/b,S1,1989,56,34
IV/b,S1,1984,60,39
IV/b,S1,1982,60,41
IV/b,S1,1983,61,40
IV/b,S1,1993,58,30
IV/b,S1,1986,59,37
IV/b,S1,1991,56,32
IV/b,S1,1988,60,35
IV/b,S1,1986,60,37
IV/b,S1,1990,57,33
IV/b,S1,1988,57,35
IV/b,S1,2005,45,18
IV/b,S1,1987,60,36
IV/b,S1,1985,61,38
IV/b,S1,1987,59,36
IV/b,S1,1983,60,40
IV/b,S1,1987,58,36
IV/b,S1,1996,59,27
IV/b,S1,1994,58,29
IV/b,S1,1994,59,29
IV/b,S1,1987,58,36
IV/b,S1,1983,60,40
IV/b,S1,1988,60,35
IV/b,S1,1984,59,39
IV/b,S1,1986,59,37
IV/b,S1,1987,59,36
IV/b,S1,1989,59,34
IV/b,S1,1989,57,34
IV/b,D3,1990,60,33
IV/b,D3,1986,57,37
IV/b,S1,1987,59,36
IV/a,S2,1990,53,33
IV/a,S1,1983,60,40
IV/a,S1,1988,60,35
IV/a,S1,1986,59,37
IV/a,D3,1987,61,36
IV/a,D3,1987,57,36
IV/a,D3,1988,61,35
IV/a,D3,1988,58,35
IV/a,S1,1986,59,37
IV/a,S1,1986,60,37
IV/a,S1,1984,61,39
IV/a,S1,1987,58,36
IV/a,S1,1993,56,30
IV/a,S1,1991,57,32
IV/a,S1,1993,57,30
IV/a,S1,1993,60,30
IV/a,S1,1987,60,36
IV/a,S1,1984,59,39
IV/a,S1,1983,61,40
IV/a,S1,1994,59,29
IV/a,S1,1986,62,37
IV/a,D3,1994,59,29
IV/a,D3,1991,58,32
IV/a,S1,2000,55,23
IV/a,S1,1993,58,30
IV/a,S1,1986,60,37
IV/a,S1,1991,57,32
IV/a,S1,2000,56,23
IV/a,S1,1990,55,33
IV/a,S1,1986,61,37
IV/a,S1,1997,53,26
IV/a,S1,1985,60,38
IV/a,S1,2007,53,16
IV/a,S1,1997,59,26
IV/a,S1,1995,52,28
IV/a,S1,1990,58,33
IV/a,S1,2006,49,17
IV/a,S1,1997,53,26
IV/a,S1,1997,53,26
IV/a,S1,1987,59,36
IV/a,S1,1988,58,35
IV/a,S1,1995,55,28
IV/a,S1,2000,52,23
IV/a,S1,1997,54,26
IV/a,S1,1987,61,36
IV/a,S1,1993,58,30
IV/a,S1,1999,49,24
IV/a,S1,1994,58,29
IV/a,S1,1986,60,37
IV/a,S1,1987,59,36
IV/a,S1,1994,57,29
IV/a,S1,1994,58,29
IV/a,S1,1992,60,31
IV/a,S1,1998,52,25
III/d,D3,2006,51,17
III/d,S1,1994,55,29
III/d,S1,2009,44,14
III/d,S1,2009,40,14
III/d,S2,2006,46,17
III/d,S1,2008,47,15
III/d,S1,2010,40,13
III/d,S1,2008,57,15
III/d,S1,2005,51,18
III/d,S1,2005,55,18
III/d,S1,2007,59,16
III/d,S1,2006,40,17
III/d,S1,1988,60,35
III/d,S1,1989,58,34
III/d,S1,2006,48,17
III/d,S1,2007,59,16
III/d,S1,2008,53,15
III/d,S1,2006,54,17
III/d,S1,2006,42,17
III/d,S1,2005,54,18
III/d,S1,2010,42,13
III/d,S1,1994,55,29
III/d,S1,1999,58,24
III/d,S1,1993,51,30
III/d,D3,1993,59,30
III/d,D3,1991,58,32
III/d,D3,1991,55,32
III/d,D3,1986,58,37
III/d,D3,2005,40,18
III/d,S1,1987,59,36
III/d,S1,2006,44,17
III/d,S1,2007,54,16
III/d,S1,2005,54,18
III/d,S1,2006,53,17
III/d,S1,2005,54,18
III/d,S1,1991,57,32
III/d,S1,2010,41,13
III/d,S1,1992,55,31
III/d,S1,1987,57,36
III/d,S1,2006,55,17
III/d,S1,2005,44,18
III/d,S1,2008,57,15
III/d,S1,2005,56,18
III/d,S1,2011,36,12
III/d,S1,1991,59,32
III/d,S1,2006,55,17
III/d,S2,2007,54,16
III/d,S1,2005,54,18
III/d,S1,2008,56,15
III/d,S1,2008,53,15
III/d,S1,2010,42,13
III/d,S1,1999,48,24
III/d,S1,2005,54,18
III/d,S1,2008,53,15
III/d,S1,2005,52,18
III/d,S1,2008,54,15
III/d,S1,2010,42,13
III/d,S1,2008,56,15
III/c,S1,2007,59,16
III/c,S1,2007,59,16
III/c,S1,2010,48,13
III/c,S1,2010,40,13
III/c,S1,2010,45,13
III/c,S1,2011,38,12
III/c,S1,2006,52,17
III/c,S1,2006,41,17
III/c,S1,2008,60,15
III/c,S1,2005,53,18
III/c,S1,2009,47,14
III/c,S1,1988,56,35
III/c,S1,2007,54,16
III/c,S1,2007,59,16
III/c,S1,2008,53,15
III/c,S1,2010,39,13
III/c,S1,2005,41,18
III/c,S1,2010,42,13
III/c,S1,2010,41,13
III/c,S1,1994,51,29
III/c,S1,2010,37,13
III/c,S1,2009,43,14
III/c,S1,2009,37,14
III/c,S1,2007,59,16
III/c,S1,2008,58,15
